# word  syl-la-ble-split   built by gen/build_dictionary.py
# from en_US hyphenation patterns (pyphen). Break points, which are
# conservative: a missing break is safer than a wrong one.
adhesives ad-he-sives
adidas adi-das
adina ad-i-na
adinolfi adi-nolfi
adipose adi-pose
adirondack adiron-dack
adjacent ad-ja-cent
adjani ad-jani
adjective ad-jec-tive
adjectives ad-jec-tives
adjoin ad-join
adjoining ad-join-ing
adjoins ad-joins
adjourn ad-journ
adjourned ad-journed
adjourning ad-journ-ing
adjournment ad-journ-ment
adjourns ad-journs
adjudge ad-judge
adjudged ad-judged
adjudicate ad-ju-di-cate
adjudicated ad-ju-di-cat-ed
adjudicating ad-ju-di-cat-ing
adjudication ad-ju-di-ca-tion
adjunct ad-junct
adjuncts ad-juncts
adjust ad-just
adjustable ad-justable
adjustables ad-justa-bles
adjusted ad-just-ed
adjuster ad-juster
adjusters ad-justers
adjusting ad-just-ing
adjustment ad-just-ment
adjustments ad-just-ments
adjusts ad-justs
adjutant ad-ju-tant
adkins ad-kins
adkinson ad-kin-son
adkison ad-ki-son
adkisson ad-kisson
adlai ad-lai
adlon ad-lon
adlong ad-long
adman ad-man
admen ad-men
admin ad-min
administer ad-min-is-ter
administered ad-min-is-tered
administering ad-min-is-ter-ing
administers ad-min-is-ters
administrate ad-min-is-trate
administrating ad-min-is-trat-ing
administration ad-min-is-tra-tion
administrations ad-min-is-tra-tions
administrative ad-min-is-tra-tive
administratively ad-min-is-tra-tive-ly
administrator ad-min-is-tra-tor
administrators ad-min-is-tra-tors
admins ad-mins
admira ad-mi-ra
admirable ad-mirable
admirably ad-mirably
admiral ad-mi-ral
admirals ad-mi-rals
admiralty ad-mi-ral-ty
admiration ad-mi-ra-tion
admirations ad-mi-ra-tions
admire ad-mire
admired ad-mired
admirer ad-mir-er
admirers ad-mir-ers
admires ad-mires
admiring ad-mir-ing
admiringly ad-mir-ing-ly
admissibility ad-mis-si-bil-i-ty
admissible ad-mis-si-ble
admission ad-mis-sion
admissions ad-mis-sions
admit ad-mit
admits ad-mits
admittance ad-mit-tance
admitted ad-mit-ted
admittedly ad-mit-ted-ly
admitting ad-mit-ting
admonish ad-mon-ish
admonished ad-mon-ished
admonishes ad-mon-ish-es
admonishing ad-mon-ish-ing
admonishment ad-mon-ish-ment
admonition ad-mo-ni-tion
admonitions ad-mo-ni-tions
admonitory ad-mon-i-to-ry
adnan ad-nan
adney ad-ney
adolescence ado-les-cence
adolescent ado-les-cent
adolescents ado-les-cents
adolfo adol-fo
adolpha adol-pha
adolphson adolph-son
adolphus adol-phus
adonia ado-nia
adonis ado-nis
adoptable adopt-able
adopted adopt-ed
adopting adopt-ing
adoption adop-tion
adoptions adop-tions
adoptive adop-tive
adora ado-ra
adorabelle adora-belle
adoration ado-ra-tion
adoring ador-ing
adorna ador-na
adorning adorn-ing
adornment adorn-ment
adrda adr-da
adrenaline adren-a-line
adrenergic adren-er-gic
adrian adri-an
adriana adri-ana
adriance adri-ance
adriano adri-ano
adriatic adri-at-ic
adrienne adri-enne
adroitly adroit-ly
adsit ad-sit
adsl ad-sl
adsorption ad-sorp-tion
adstar ad-star
adsteam ad-steam
adulate adu-late
adulation adu-la-tion
aduliadae adu-li-adae
adulterate adul-ter-ate
adulterated adul-ter-at-ed
adulterates adul-ter-ates
adulteration adul-ter-ation
adulterer adul-ter-er
adulterers adul-ter-ers
adulterous adul-ter-ous
adultery adul-tery
adulthood adult-hood
adusdur adus-dur
advacare ad-vacare
advalue ad-val-ue
advance ad-vance
advanced ad-vanced
advancement ad-vance-ment
advancements ad-vance-ments
advancer ad-vancer
advancers ad-vancers
advances ad-vances
advancing ad-vanc-ing
advani ad-vani
advanta ad-van-ta
advantage ad-van-tage
advantaged ad-van-taged
advantageous ad-van-ta-geous
